virtualX	virtualY	virtualZ	virtualHeading	virtualPitch	virtualRoll	physX	physY	physZ	physHeading	physPitch	physRoll	steeringRate	translationGain	deltaFrameTime	
10.5539406075	-0.686223793367	1.84824193212	-3.0392688188	2.07118105888	-0.510689854622	10.7170875903	-1.76195929714	1.84824193212	2.10996794701	2.07118105888	-0.510689854622	-0.9796331626	0.980922919388	0.0332640388224	
10.5526298259	-0.686166036915	1.8485724299	-3.07185537435	2.07118105888	-0.510689854622	10.7157514248	-1.7620205859	1.8485724299	2.20283293724	2.00219511986	-0.455794066191	-0.633222192357	0.980765706518	0.0387547316886	
10.5511774322	-0.685912010299	1.84869130869	-2.73789811089	1.85258960724	-0.309428304434	10.7142524591	-1.76190576051	1.84869130869	2.46846556664	1.85258960724	-0.309428304434	-1.06731298838	0.980321842972	0.0374455152755	
10.5492172345	-0.685688613126	1.84763737065	-2.7778641957	1.85258960724	-0.309428304434	10.7122404849	-1.76186026431	1.84763737065	2.46846556664	1.85258960724	-0.309428304434	-0.789788455523	0.980319366129	0.0272627107247	
10.5495708881	-0.684573816184	1.84758537981	-2.70433371404	1.77486681938	-0.2319419384	10.7124938121	-1.76069444245	1.84758537981	2.56352782249	1.77486681938	-0.2319419384	-0.539852997172	0.980171409466	0.0340238624367	
10.5497925231	-0.683473836606	1.84755784665	-2.72270159815	1.77486681938	-0.2319419384	10.7126159412	-1.75955619009	1.84755784665	2.85517787933	1.62857222557	-0.0342500433326	-1.22571647533	0.979695380009	0.033018777297	
10.5485859017	-0.682906342148	1.8479088335	-2.35987797893	1.5585565567	0.00929134897888	10.7113329532	-1.75910188868	1.8479088335	2.96682310104	1.5585565567	0.00929134897888	-0.882160359967	0.979511419059	0.0367630890555	
10.5475242093	-0.681967373603	1.84792261144	-2.3923089188	1.5585565567	0.00929134897888	10.710164742	-1.75824804273	1.84792261144	3.0414853096	1.47284519672	0.0632737800479	-0.702599034896	0.979392729488	0.0305485479357	
10.5477528366	-0.680572139151	1.8479060767	-2.1861857913	1.23982107639	0.119040697813	10.7102583839	-1.75680749247	1.8479060767	3.19440960884	1.23982107639	0.119040697813	-0.61863821823	0.979150496316	0.0434954917014	
10.5479010309	-0.679240084927	1.84779498821	-2.21309376479	1.23982107639	0.119040697813	10.7102814988	-1.75543887626	1.84779498821	3.22823381424	1.10004580021	0.172006800771	-0.656024885425	0.979106038678	0.0263782209572	
10.5478344367	-0.677855390489	1.84770427433	-2.13469540917	1.07729911804	0.219545781612	10.710078169	-1.75403767392	1.84770427433	3.29011273384	1.07729911804	0.219545781612	-0.502833488937	0.979014784548	0.0339678878659	
10.5475326915	-0.67655998975	1.84706845464	-2.15177560074	1.07729911804	0.219545781612	10.7096462449	-1.7527495708	1.84706845464	3.35504150391	0.946394026279	0.318111181259	-0.530875318732	0.978917141263	0.0283292242752	
10.5469442176	-0.675329214226	1.84658580339	-2.08596309341	0.845012307167	0.389572113752	10.7089268857	-1.75155597932	1.84658580339	3.37096452713	0.845012307167	0.389572113752	-0.465523047388	0.978899946377	0.0390552871654	
10.5461755242	-0.673181255756	1.8460550924	-2.10414422971	0.845012307167	0.389572113752	10.7079365137	-1.74944634279	1.8460550924	3.5512919426	0.606072723866	0.451936453581	-0.63931686457	0.9786163177	0.0415129532103	
10.5454370348	-0.671024928584	1.84557824123	-1.82252433261	0.567867100239	0.513799309731	10.7069636968	-1.74733015347	1.84557824123	3.67912435532	0.567867100239	0.513799309731	-0.688788574808	0.978420266618	0.037941240601	
10.544883574	-0.669599622194	1.84537605459	-1.84865782565	0.567867100239	0.513799309731	10.7062609705	-1.74593435459	1.84537605459	4.14882898331	0.293709158897	0.591504514217	-1.59540222749	0.977648556092	0.0403083349888	
10.5445732108	-0.667442614026	1.84541901292	-1.20168357981	0.110989816487	0.634373366833	10.7057056151	-1.74377560028	1.84541901292	4.39040660858	0.110989816487	0.634373366833	-1.78598470464	0.977263897252	0.0307802851898	
10.5430245286	-0.665246831154	1.84444352919	-1.25665669837	0.110989816487	0.634373366833	10.7039094973	-1.74169384865	1.84444352919	4.69061040878	-0.0308292135596	0.734642088413	-1.31591072258	0.976779107433	0.0462283715847	
10.5415712102	-0.662496322356	1.84431814414	-0.435034236092	-0.404579907656	0.819714307785	10.7021110707	-1.73906541083	1.84431814414	5.27286148071	-0.404579907656	0.819714307785	-2.04100090022	0.975828994058	0.0451347935577	
10.5388850189	-0.659854151774	1.84369588126	-0.527154390375	-0.404579907656	0.819714307785	10.6991027005	-1.73664499681	1.84369588126	5.58993721008	-0.627646327019	0.914992451668	-2.29399366482	0.975317331291	0.0321095113572	
10.5366292343	-0.656953410448	1.84331536322	0.360191804867	-1.07111990452	1.15032017231	10.6964557701	-1.73396381906	1.84331536322	6.23386669159	-1.07111990452	1.15032017231	-2.02194296568	0.974263700812	0.0542954354023	
10.5331840869	-0.653643538123	1.84293325552	0.250409531187	-1.07111990452	1.15032017231	10.692590515	-1.73094622289	1.84293325552	7.04294586182	-1.63993930817	1.44489085674	-2.86061702502	0.972936043062	0.0486878394086	
10.5303645141	-0.650283961358	1.84221557442	1.33732378955	-1.95795845985	1.59907233715	10.6892820674	-1.72788419499	1.84221557442	7.46005821228	-1.95795845985	1.59907233715	-2.43165211226	0.972262850342	0.044364833419	
10.5274044996	-0.647153963342	1.84194490498	1.22944394866	-1.95795845985	1.59907233715	10.6859116095	-1.72500798457	1.84194490498	7.8392534256	-2.36859202385	1.75187885761	-3.40605678962	0.971651162576	0.0240771221347	
10.524773156	-0.644625102278	1.84144492375	1.93789076784	-2.73803830147	1.9035307169	10.6829056691	-1.72275588278	1.84144492375	8.25051307678	-2.73803830147	1.9035307169	-2.57439442683	0.9709811228	0.0326840335092	
10.5219621561	-0.642214796252	1.8411701572	1.85374917413	-2.73803830147	1.9035307169	10.679755271	-1.72060690886	1.8411701572	8.89400291443	-3.17657876015	1.99044823647	-3.3095323138	0.969922940569	0.0330413303859	
10.5193732953	-0.639713953817	1.84042493408	2.9811837122	-3.22318267822	1.9501875639	10.676767279	-1.71840592592	1.84042493408	9.48729896545	-3.22318267822	1.9501875639	-2.43741534327	0.968949105095	0.0514725136054	
10.5162182589	-0.636148370321	1.83881356665	2.85572381778	-3.22318267822	1.9501875639	10.6731151461	-1.71511873006	1.83881356665	9.73252105713	-3.214884758	1.91053855419	-2.05953226696	0.968563944321	0.0383066764807	
10.5126746473	-0.633058113019	1.83747080113	3.55613448592	-3.36913156509	2.03654050827	10.6690755531	-1.71242672961	1.83747080113	10.2666034698	-3.36913156509	2.03654050827	-1.94973079167	0.967691631706	0.0481368809692	
10.5089522578	-0.630191184126	1.83638608498	3.46228052688	-3.36913156509	2.03654050827	10.6649090445	-1.70993387035	1.83638608498	10.4787416458	-3.56532406807	2.03335189819	-1.36369416377	0.967353991363	0.0484249564943	
10.503662435	-0.626929876265	1.83441786314	3.84575045597	-3.84842085838	2.15286302567	10.659058781	-1.7072799452	1.83441786314	10.7161102295	-3.84842085838	2.15286302567	-1.4754982037	0.966973364982	0.0351741221116	
10.500302609	-0.62468959184	1.83352131221	3.79385110198	-3.84842085838	2.15286302567	10.6553320078	-1.70539542128	1.83352131221	10.7285375595	-3.96336007118	2.22573065758	-0.933298145623	0.966963903796	0.0266927064908	
10.4971364729	-0.62286481567	1.83302472865	3.74955827905	-4.02874517441	2.25457382202	10.6518546292	-1.70391550934	1.83302472865	10.69672966	-4.02874517441	2.25457382202	-0.541555955603	0.967024988114	0.0390156287094	
10.4936013609	-0.620872571297	1.83250177625	3.72842913296	-4.02874517441	2.25457382202	10.6479766242	-1.70231262303	1.83250177625	10.5896434784	-4.11080026627	2.37892961502	-0.860982236254	0.96721205699	0.0450339558502	
10.4902824728	-0.618968320418	1.83197517018	3.47705022057	-4.38775920868	2.33525586128	10.6443374503	-1.7007611451	1.83197517018	10.4841241837	-4.38775920868	2.33525586128	-1.4645613799	0.967396405002	0.0307353555745	
