virtualX	virtualY	virtualZ	virtualHeading	virtualPitch	virtualRoll	physX	physY	physZ	physHeading	physPitch	physRoll	steeringRate	translationGain	deltaFrameTime	
-6.17849207304	10.4472814782	1.76649980369	123.861373967	-20.3490352631	1.29231214523	-11.9709239551	-3.53015559359	1.76649980369	48.7484855652	-20.3490352631	1.29231214523	12.6844147215	1.0	0.036586909163	
-6.1702380832	10.4612053748	1.76239419903	124.325457496	-20.3490352631	1.29231214523	-11.9553468523	-3.53455526561	1.76239419903	46.733505249	-20.5042877197	1.28949522972	15.0147943127	1.0	0.0303841544891	
-6.1702380832	10.4612053748	1.76239419903	120.71169252	-20.7345600128	1.28423810005	-11.9553468523	-3.53455526561	1.76239419903	44.6785087585	-20.7345600128	1.28423810005	14.271923057	1.0	0.0315964735294	
-6.16792624819	10.4694824945	1.76271621641	121.162634959	-20.7345600128	1.28423810005	-11.9467564558	-3.53480098806	1.76271621641	42.595954895	-20.8830184937	1.24566602707	13.506129922	1.0	0.0331523081255	
-6.16075807035	10.4780635565	1.75811993728	115.360062461	-20.9365596771	0.951874256134	-11.9373377485	-3.54082638011	1.75811993728	38.4281768799	-20.9365596771	0.951874256134	13.6230042539	1.0	0.0346221781009	
-6.15748846624	10.4921085659	1.75728440168	115.83172054	-20.9365596771	0.951874256134	-11.9229171897	-3.54083560135	1.75728440168	36.3800392151	-21.0481147766	0.701038241386	15.3306860718	1.0	0.0309158968741	
-6.15748846624	10.4921085659	1.75728440168	112.241217881	-21.1971282959	0.320549190044	-11.9229171897	-3.54083560135	1.75728440168	34.3637123108	-21.1971282959	0.320549190044	13.8972188693	1.0	0.0340853447536	
-6.11817661379	10.4989020979	1.72799676879	112.714909377	-21.1971282959	0.320549190044	-11.9080195632	-3.57784417529	1.72799676879	32.3941993713	-21.3639793396	-0.195488572121	14.2909059276	1.0	0.0327056079141	
-6.15764851372	10.5024202579	1.75724822111	109.302539494	-21.4720726013	-0.852569580078	-11.9098695157	-3.53825900118	1.75724822111	30.4839496613	-21.4720726013	-0.852569580078	13.6428527101	1.0	0.0337267569178	
-6.11570481908	10.5151525437	1.72812765967	109.762668671	-21.4720726013	-0.852569580078	-11.8892453563	-3.57693753101	1.72812765967	26.9834671021	-21.6129207611	-2.26648569107	14.3246716328	1.0	0.032902989779	
-6.11570481908	10.5151525437	1.72812765967	105.199500702	-21.707950592	-2.95322918892	-11.8892453563	-3.57693753101	1.72812765967	25.4494571686	-21.707950592	-2.95322918892	13.9775634483	1.0	0.0333697037056	
-6.15607407249	10.5195735822	1.75804678902	105.665927853	-21.707950592	-2.95322918892	-11.8920782918	-3.53642584531	1.75804678902	24.064283371	-21.809967041	-3.49102687836	13.8643602619	1.0	0.0325882336464	
-6.15693277397	10.5260333113	1.76056643858	104.732569067	-21.809967041	-3.49102687836	-11.8858132507	-3.53463287871	1.76056643858	24.064283371	-21.809967041	-3.49102687836	13.2623063419	1.0	0.0340223876013	
-6.15931207467	10.5404862595	1.76110459523	105.183784394	-21.809967041	-3.49102687836	-11.8719373749	-3.52994151928	1.76110459523	21.7260494232	-21.647819519	-4.11720132828	13.2483554248	1.0	0.0328378737258	
-6.15931207467	10.5404862595	1.76110459523	101.362040148	-21.006942749	-4.03472185135	-11.8719373749	-3.52994151928	1.76110459523	19.8074913025	-21.006942749	-4.03472185135	12.4288715608	1.0	0.0342451148388	
-6.15950778376	10.5493147399	1.76236579354	101.787668282	-21.006942749	-4.03472185135	-11.8632333727	-3.52845131342	1.76236579354	18.931224823	-20.6582145691	-3.83418130875	12.3126227961	1.0	0.0328905873723	
-6.13148353598	10.5612271671	1.73983463824	100.453013654	-20.3363933563	-3.57778954506	-11.8483268393	-3.55500427271	1.73983463824	18.0678672791	-20.3363933563	-3.57778954506	11.427277231	1.0	0.033399409913	
-6.1646753466	10.5780326849	1.76688784842	100.834677971	-20.3363933563	-3.57778954506	-11.8360678838	-3.51987821785	1.76688784842	17.2089881897	-19.8614273071	-3.25426292419	10.9974385291	1.0	0.0325534319301	
-6.1646753466	10.5780326849	1.76688784842	99.4197903391	-19.4803905487	-2.9717066288	-11.8360678838	-3.51987821785	1.76688784842	16.2949752808	-19.4803905487	-2.9717066288	9.75388209867	1.0	0.0345972969933	
-6.17611981888	10.5872216277	1.77222394003	99.7572482949	-19.4803905487	-2.9717066288	-11.8283149978	-3.50741606006	1.77222394003	15.3269863129	-19.1010379791	-2.82675933838	9.95420228447	1.0	0.0320036065116	
-6.17373055621	10.5967774984	1.7693980203	96.9757238727	-18.4919223785	-2.73390054703	-11.8186330565	-3.50922803442	1.7693980203	13.1948804855	-18.4919223785	-2.73390054703	9.2718992946	1.0	0.0342839839147	
-6.15185168779	10.6170876583	1.74798864946	97.293601519	-18.4919223785	-2.73390054703	-11.79607225	-3.52877790634	1.74798864946	12.0269889832	-18.3830089569	-2.75816774368	9.44504256317	1.0	0.0329872390472	
-6.15185168779	10.6170876583	1.74798864946	95.2145795891	-18.2776622772	-2.86828994751	-11.79607225	-3.52877790634	1.74798864946	10.8042926788	-18.2776622772	-2.86828994751	8.94010236934	1.0	0.0341381280211	
-6.19306202427	10.6232658397	1.77537542925	95.5197779483	-18.2776622772	-2.86828994751	-11.7939375069	-3.48716174806	1.77537542925	9.5163269043	-18.1652908325	-3.01720333099	9.45995569889	1.0	0.0315211348168	
-6.18297025524	10.6313100291	1.76762374077	93.1938257478	-17.9712581635	-3.17110157013	-11.7854335719	-3.49686926443	1.76762374077	8.18015193939	-17.9712581635	-3.17110157013	8.55620079812	1.0	0.0344342169096	
