virtualX	virtualY	virtualZ	virtualHeading	virtualPitch	virtualRoll	physX	physY	physZ	physHeading	physPitch	physRoll	steeringRate	translationGain	deltaFrameTime	
22.0593974149	-36.1372936347	1.84275239228	162.446775281	-15.7664937973	-2.60270690918	-4.84995474798	18.9737837107	1.84275239228	171.69430542	-15.7664937973	-2.60270690918	-3.2540616879	0.887740408232	0.0292821987368	
22.0535926867	-36.1522586573	1.84210654893	162.3514892	-15.7664937973	-2.60270690918	-4.85369954363	18.9560945908	1.84210654893	171.69430542	-15.7664937973	-2.60270690918	-5.72341585867	0.88777949273	0.0162390809064	
22.0494956989	-36.1600635398	1.8420359609	162.258546187	-15.7664937973	-2.60270690918	-4.85682597958	18.9466705633	1.8420359609	171.970718384	-15.8380393982	-2.54921293259	-5.28158214316	0.887345004164	0.0172663744271	
22.0494956989	-36.1600635398	1.8420359609	162.443765376	-15.8380393982	-2.54921293259	-4.85682597958	18.9466705633	1.8420359609	171.970718384	-15.8380393982	-2.54921293259	-5.40881017555	0.887345004164	0.0163748992947	
22.0398445125	-36.1817360677	1.84179362247	162.690371214	-15.8645420074	-2.48527860641	-4.86335843667	18.9207445677	1.84179362247	172.305892944	-15.8645420074	-2.48527860641	-5.28040847001	0.886848779631	0.016434190249	
22.0330577007	-36.1907827444	1.8369340443	162.998428403	-15.8246660233	-2.40126514435	-4.86912147352	18.9093686948	1.8369340443	172.70072937	-15.8246660233	-2.40126514435	-5.16657615093	0.886231865572	0.016462673057	
22.0258687076	-36.203053248	1.83681053574	162.913372749	-15.8246660233	-2.40126514435	-4.87478390984	18.8943539464	1.83681053574	172.70072937	-15.8246660233	-2.40126514435	-4.91542216928	0.886277023982	0.0170825293866	
22.0258687076	-36.203053248	1.83681053574	162.829404905	-15.8246660233	-2.40126514435	-4.87478390984	18.8943539464	1.83681053574	173.179550171	-15.763297081	-2.34607934952	-5.02180310954	0.885478989314	0.0163006300869	
22.0113263915	-36.2229670798	1.83387620174	163.226367151	-15.763297081	-2.34607934952	-4.88689927637	18.8692799273	1.83387620174	173.179550171	-15.763297081	-2.34607934952	-4.89507279022	0.885567150289	0.0164906868625	
22.0039842732	-36.2324189111	1.83158572791	163.694777339	-15.7195796967	-2.29508209229	-4.89310578999	18.8572743144	1.83158572791	173.728683472	-15.7195796967	-2.29508209229	-4.62735700718	0.884696132615	0.0172717871447	
21.9983693515	-36.2419301127	1.83128920348	163.614854614	-15.7195796967	-2.29508209229	-4.89748231528	18.8455821427	1.83128920348	174.365112305	-15.6662683487	-2.2913582325	-4.81763205791	0.883670595345	0.0162784588804	
