environment,path,total_time,total_translation,mean_translation_velocity,standard_translation_velocity,total_rotation_sep,total_rotation_nosep,mean_rotation_velocity_sep,mean_rotation_velocity_nosep,standard_rotation_velocity,translation_mean,translation_standard,rotation_mean_sep,rotation_standard_sep,rotation_mean_nosep,rotation_standard_nosep,combined_standard_nosep,combined_mean_nosep,combined_dynamic_nosep
constrained,paths/constrained/RDW_Path_ConstrainedNav_249_orbit_0.txt,85.5991619219756,39.65775108847421,0.5188122005653751,1.0,28782.267402587506,46249.807533953615,336.5109468774083,525.6842313913412,90.0,1.1198287432944967,2.158447203196386,1.0007917245493676,0.2676621846785158,0.9729365816206259,0.16657203529597567,3087.5178976268603,11544.261902570652,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_241_center_0.txt,360.27691179364,145.21495008804982,0.41348520817412776,1.0,328623.21094622643,153679.45010513242,1213.2194284192062,577.0550050356995,90.0,1.0258528738466592,2.4809905011514948,1.33007935666005,0.09866899531552988,1.3528132421550225,0.2109906174133604,12975.35382601859,174910.5705815481,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_237_center_0.txt,378.3156048428844,188.46304516346243,0.5034238983993259,1.0,107712.71557872568,46536.56874908704,285.0954547382106,119.9102618714052,90.0,1.0105594783853526,2.0073728752220594,1.0013307975548427,0.3161038532258905,0.9748016337719198,0.7316483649544436,13630.091075132481,43176.41125764589,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_203_center_2.txt,86.7015819875935,53.575851078745195,0.5501879770421628,1.0,230395.42123686598,68391.6147866408,3608.355859298329,1118.2726022950542,90.0,0.8903669664527992,1.6182959344903447,1.3578835885533118,0.03386847853569592,1.4176592264246841,0.11409501593472586,3126.654146199737,125356.45342710245,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_101_orbit_2.txt,313.44338759379696,315.6748220213736,1.0147447386470214,1.0,1088777.0716169407,73275.21029475104,3554.5105384144317,235.2305932047718,90.0,1.007571735964958,0.9929312245642906,1.0232928791785325,0.025909716156629983,1.0062267130072462,0.3849856557213115,11288.694163781343,445842.02633442206,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_215_orbit_0.txt,384.5914837706356,256.2514662326144,0.7081026304884417,1.0,132491.49009306045,50774.28999782283,343.30882799571157,117.47304004243223,90.0,1.0627460803452724,1.5008362271048217,0.9965443928337567,0.2612487301263295,0.8898032995617182,0.6817078789450606,13857.38067163437,52859.56797188046,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_212_center_0.txt,51.6644396468237,39.610544213989236,0.764850052170652,1.0,32410.768385750885,7638.833369670582,663.2621942944573,146.5220272420563,90.0,0.997601778601288,1.3043102707126502,1.0572742120551226,0.14346465078743328,0.9909861973732156,0.6087054584376478,1864.71904458664,13742.196058391117,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_109_center_2.txt,33.4586827305648,44.7855941083263,1.3222217197621573,1.0,3696.4250531045827,1315.4819569925166,127.48662493349336,45.240348825643224,90.0,0.987813110483198,0.7470858296450362,1.1539621322655238,0.8146469636173722,1.150667608879935,2.289108892557743,1220.8966000648734,1729.4220770560864,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_222_orbit_0.txt,268.84264724980164,134.9564424052276,0.5761339269244988,1.0,35428.749082695525,20486.166944539837,135.22029308294827,70.54298458581403,90.0,1.147698971048205,1.9920697556813183,1.026087076048354,0.6829436228754723,0.9257448097681793,1.1810817669301015,9698.417069465151,14571.364428597279,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_223_center_0.txt,456.4538144229917,301.65806661924483,0.734284059563942,1.0,58045.486278129465,36764.87278475808,136.74224691741767,80.69898020419338,90.0,1.111081707889518,1.5131497046924034,1.0753035972366958,0.707735362939802,1.0019171710427,1.117393865023803,16442.570802069193,24982.156406374135,0.0
