virtualX	virtualY	virtualZ	virtualHeading	virtualPitch	virtualRoll	physX	physY	physZ	physHeading	physPitch	physRoll	steeringRate	translationGain	deltaFrameTime	
10.0907046561	-14.2748460669	1.7881539955	-136.880159682	14.5314545631	-2.81692689657	11.5481262979	-13.2866951432	1.7881539955	-99.289894104	7.52157354355	-2.19241523743	-22.8421858819	1.1676180654	0.0166649305454	
10.0912399271	-14.2739752254	1.78800143765	-137.260823123	14.5314545631	-2.81692689657	11.5480345921	-13.2858245075	1.78800143765	-99.289894104	7.52157354355	-2.19241523743	-8.47705242499	1.16762351101	0.0224646365645	
10.0913055557	-14.2746714748	1.78774841522	-138.043092047	14.2675151825	-2.67545121908	11.5484412592	-13.2862642236	1.78774841522	-99.881729126	7.2576341629	-2.05093955994	-17.1482161138	1.16959649476	0.0133294647283	
10.0911553999	-14.2760375184	1.78749106235	-138.271668589	14.2675151825	-2.67545121908	11.5490619734	-13.2872618858	1.78749106235	-100.317604065	6.85978937149	-1.89682590961	-12.7589384849	1.1710473933	0.018473186064	
10.0911335197	-14.2773340777	1.78736150517	-138.943241772	13.8696703911	-2.52133756876	11.5497281886	-13.2881463925	1.78736150517	-100.317604065	6.85978937149	-1.89682590961	-6.20914171006	1.17104655341	0.0160712137297	
10.0914432029	-14.2779653054	1.78701312692	-139.043030216	13.8696703911	-2.52133756876	11.5502712653	-13.2884024266	1.78701312692	-100.732566833	6.40425395966	-1.84321129322	-8.01717436085	1.17243238693	0.018784679409	
10.0915326575	-14.2782690053	1.78681765716	-139.608593034	13.4141349792	-2.46772295237	11.5504917147	-13.288558382	1.78681765716	-100.732566833	6.40425395966	-1.84321129322	-4.69006152916	1.17243308194	0.0132673235607	
10.0917597308	-14.2786761496	1.78658180204	-139.670817598	13.4141349792	-2.46772295237	11.5508604495	-13.2887071705	1.78658180204	-101.206214905	5.98475217819	-1.78686273098	-9.08852271349	1.1740138688	0.0168300982226	
10.0923137808	-14.2792280379	1.78603776653	-140.297426399	12.9946331978	-2.41137439013	11.5515223741	-13.288781691	1.78603776653	-101.206214905	5.98475217819	-1.78686273098	-4.24152083088	1.17401875731	0.0173447843081	
10.0839183701	-14.2702991098	1.79260730474	-140.370994663	12.9946331978	-2.41137439013	11.5411765119	-13.2873878946	1.79260730474	-101.829612732	5.65301656723	-1.71804201603	-12.7013016297	1.1760219415	0.0155975493914	
10.0766554469	-14.2625416661	1.79740097459	-142.017529136	12.4658789635	-2.32952350378	11.5322557888	-13.2859479524	1.79740097459	-102.654640198	5.45599794388	-1.70501184464	-19.152418432	1.17870917045	0.0169172907539	
10.0712676645	-14.2562593584	1.80119709505	-142.341536167	12.4658789635	-2.32952350378	11.5253414778	-13.2847262435	1.80119709505	-102.654640198	5.45599794388	-1.70501184464	-9.43970101214	1.17866116425	0.0153999527453	
10.0676033544	-14.252053084	1.80316109514	-143.463843457	12.4233937263	-2.33839160204	11.5206837749	-13.2838857415	1.80316109514	-103.631576538	5.41351270676	-1.71387994289	-19.5874890417	1.18188538808	0.0164372939714	
10.064646073	-14.2496611476	1.80477575712	-143.785808773	12.4233937263	-2.33839160204	11.5174659498	-13.2839343426	1.80477575712	-103.631576538	5.41351270676	-1.71387994289	-9.34846873239	1.18185863525	0.0162019333673	
10.0617289733	-14.2465597863	1.80708956707	-144.973511664	12.4479346275	-2.33523470163	11.5138953568	-13.2834556636	1.80708956707	-104.667816162	5.43805360794	-1.71072304249	-19.8394951924	1.18528686419	0.0172101561102	
10.0615778751	-14.2477419795	1.8090016105	-145.314952473	12.4479346275	-2.33523470163	11.5144433187	-13.2842987384	1.8090016105	-104.667816162	5.43805360794	-1.71072304249	-9.90880104826	1.18528536353	0.0158344454254	
10.0614644323	-14.2488828749	1.81058402505	-146.496350829	12.4691214561	-2.3204100728	11.5149834424	-13.2851011893	1.81058402505	-105.692314148	5.45924043655	-1.69589841366	-20.4034018011	1.18869908102	0.0166464708181	
10.0601551357	-14.2481542231	1.81080882535	-146.835995461	12.4691214561	-2.3204100728	11.5137491302	-13.2853569638	1.81080882535	-106.653144836	5.48014307022	-1.68903744221	-25.0512033729	1.19188989741	0.0169736482396	
