virtualX	virtualY	virtualZ	virtualHeading	virtualPitch	virtualRoll	physX	physY	physZ	physHeading	physPitch	physRoll	steeringRate	translationGain	deltaFrameTime	
-47.7252381741	-7.96554121024	1.62610587932	53.3292023579	-10.3952665329	1.444663167	11.995176516	3.52512728934	1.62610587932	171.979202271	-10.3952665329	1.444663167	8.8495253256	0.959337102654	0.0202923100799	
-47.7208281728	-7.96143973932	1.62425147466	47.188894416	-11.5698404312	0.481977730989	11.9894752368	3.52775511768	1.62425147466	165.659317017	-11.5698404312	0.481977730989	17.9290426561	0.948772413691	0.0432855208904	
-47.7154107055	-7.95794343152	1.62305503531	47.9649623664	-11.5698404312	0.481977730989	11.9835138389	3.53101784879	1.62305503531	163.633804321	-11.809384346	0.118665240705	19.1993021032	0.945359771332	0.0289790579681	
-47.7100902738	-7.9539369503	1.62185687427	44.5517508216	-11.8488693237	-0.235890895128	11.9773695857	3.53446501651	1.62185687427	161.689727783	-11.8488693237	-0.235890895128	11.0595487451	0.942081079234	0.0435789492575	
-47.7046563936	-7.94900257363	1.62104311321	45.0337143352	-11.8488693237	-0.235890895128	11.9700774993	3.53720886392	1.62104311321	158.060958862	-12.1122293472	-0.2980004251	12.8975657199	0.935997207449	0.0481161733229	
-47.6958855338	-7.9407350398	1.61907429738	38.8072499444	-12.118803978	-0.0976147130132	11.9585917391	3.54303166286	1.61907429738	154.842681885	-12.118803978	-0.0976147130132	13.8569802542	0.930565737803	0.0460178470543	
-47.6861938758	-7.9332716862	1.617621813	39.4449183424	-12.118803978	-0.0976147130132	11.9468140408	3.54886930421	1.617621813	153.359909058	-12.4083852768	-0.0418950915337	11.6285919287	0.928025927464	0.0369706859726	
-47.6779975526	-7.92567284795	1.61663516193	36.9864534049	-12.4708347321	0.10426107794	11.9358684718	3.55389373555	1.61663516193	151.954299927	-12.4708347321	0.10426107794	8.8634678057	0.925622414781	0.0378208724202	
-47.6684915439	-7.91793634467	1.61650194446	37.3216774899	-12.4708347321	0.10426107794	11.9239564176	3.55967575909	1.61650194446	149.189483643	-12.9006662369	0.155745461583	12.750576112	0.92094577645	0.035075145613	
-47.659869343	-7.90959107684	1.61536902638	33.6398469658	-13.2047691345	0.0688543468714	11.9121895368	3.5652710152	1.61536902638	147.825241089	-13.2047691345	0.0688543468714	11.2300517048	0.918605013757	0.0308285156697	
-47.6524144195	-7.90259813986	1.61556935267	33.9860527908	-13.2047691345	0.0688543468714	11.9019203348	3.56955536436	1.61556935267	146.444976807	-13.2680997849	0.0479252487421	9.56019528738	0.916250401282	0.0312202677907	
-47.644864623	-7.89459441079	1.61564426565	31.493707387	-13.2309293747	0.0836636573076	11.890808465	3.57410812452	1.61564426565	145.034423828	-13.2309293747	0.0836636573076	8.52538113374	0.913841390279	0.0333558841633	
-47.6377991713	-7.88790478045	1.61485256027	31.7780790126	-13.2309293747	0.0836636573076	11.8810093445	3.57827252027	1.61485256027	143.591812134	-13.3013076782	-0.0498290508986	8.10685664171	0.911384636587	0.0345616004545	
-47.6298704446	-7.88025551835	1.61449840436	29.1537849723	-13.3280143738	-0.332029610872	11.8701146675	3.58351013008	1.61449840436	142.129943848	-13.3280143738	-0.332029610872	8.895329906	0.90888536887	0.0306362027726	
